seed	vcfsim_pi
1000	0.0109247
1001	0.00466526
1002	0.00519684
1003	0.00911158
1004	0.00750579
1005	0.00907474
1006	0.00238211
1007	0.00804421
1008	0.00247
1009	0.00338316
1010	0.00557211
1011	0.00280211
1012	0.00768895
1013	0.00589526
1014	0.00641211
1015	0.00763632
1016	0.0114674
1017	0.00317158
1018	0.00781842
1019	0.0100011
1020	0.00600105
1021	0.00759895
1022	0.00527316
1023	0.0191037
1024	0.00722684
1025	0.00739211
1026	0.00413895
1027	0.00368947
1028	0.00754105
1029	0.00332158
1030	0.00504684
1031	0.00758421
1032	0.00436263
1033	0.00317211
1034	0.00821737
1035	0.00666947
1036	0.00488737
1037	0.00778421
1038	0.00657421
1039	0.00438
1040	0.00385526
1041	0.00353158
1042	0.00662895
1043	0.00416684
1044	0.00567684
1045	0.00563211
1046	0.0110858
1047	0.00913316
1048	0.00570053
1049	0.00435158
1050	0.0131147
1051	0.0106563
1052	0.00635895
1053	0.00183684
1054	0.00666947
1055	0.00837632
1056	0.00440947
1057	0.00908737
1058	0.00470421
1059	0.00538211
1060	0.00644368
1061	0.00568421
1062	0.00572421
1063	0.00485579
1064	0.00723421
1065	0.00331895
1066	0.00306947
1067	0.00557632
1068	0.00681474
1069	0.00351316
1070	0.00728368
1071	0.00570684
1072	0.0155695
1073	0.00437158
1074	0.00604105
1075	0.00570579
1076	0.00225947
1077	0.00466526
1078	0.00866368
1079	0.00835737
1080	0.00904684
1081	0.00369526
1082	0.00362737
1083	0.00896474
1084	0.00789684
1085	0.00388579
1086	0.00619316
1087	0.00461105
1088	0.00340526
1089	0.00330842
1090	0.00446368
1091	0.00529105
1092	0.0137647
1093	0.0241274
1094	0.0220389
1095	0.00899842
1096	0.0119926
1097	0.00462684
1098	0.00474474
1099	0.00324211
1100	0.0141505
1101	0.00760421
1102	0.00297737
1103	0.00363684
1104	0.00476895
1105	0.00673211
1106	0.0125468
1107	0.00707789
1108	0.00563263
1109	0.00840895
1110	0.00802526
1111	0.0119726
1112	0.00434526
1113	0.00456368
1114	0.0108195
1115	0.00443579
1116	0.00230105
1117	0.00501368
1118	0.00653211
1119	0.00654105
1120	0.00970421
1121	0.00227316
1122	0.00335211
1123	0.00752158
1124	0.00646632
1125	0.00509737
1126	0.00618684
1127	0.00441895
1128	0.00932789
1129	0.00839737
1130	0.00395105
1131	0.00659474
1132	0.00458632
1133	0.00203684
1134	0.00447895
1135	0.0125768
1136	0.00613579
1137	0.00401947
1138	0.0109284
1139	0.00532474
1140	0.00304421
1141	0.0111316
1142	0.00382263
1143	0.00925474
1144	0.00722211
1145	0.00774632
1146	0.00618526
1147	0.00397526
1148	0.00681947
1149	0.00534211
1150	0.00572895
1151	0.00935895
1152	0.00729263
1153	0.00783632
1154	0.00621947
1155	0.00387158
1156	0.00818579
1157	0.00981421
1158	0.00491579
1159	0.00887211
1160	0.00273105
1161	0.00390895
1162	0.0129832
1163	0.00483158
1164	0.00759632
1165	0.00518
1166	0.0169284
1167	0.0109295
1168	0.0156616
1169	0.00707316
1170	0.00838684
1171	0.00362158
1172	0.00355263
1173	0.00256053
1174	0.00372842
1175	0.00572105
1176	0.00432158
1177	0.00424947
1178	0.00749526
1179	0.00554474
1180	0.00155316
1181	0.00863737
1182	0.00709421
1183	0.0125416
1184	0.00611211
1185	0.00772211
1186	0.00411684
1187	0.00878789
1188	0.00428316
1189	0.00782737
1190	0.00460684
1191	0.00423053
1192	0.00633579
1193	0.00382368
1194	0.00440947
1195	0.00385579
1196	0.00495737
1197	0.00902526
1198	0.00503474
1199	0.00884368
1200	0.00452684
1201	0.00501526
1202	0.00742158
1203	0.00643421
1204	0.00521579
1205	0.00684474
1206	0.00484053
1207	0.00310789
1208	0.0155726
1209	0.0127521
1210	0.00879789
1211	0.00444895
1212	0.01097
1213	0.00502316
1214	0.00817947
1215	0.00581895
1216	0.00519
1217	0.00964789
1218	0.00856263
1219	0.00778368
1220	0.00648632
1221	0.00556316
1222	0.0109863
1223	0.00503
1224	0.00406211
1225	0.00705737
1226	0.00381053
1227	0.0110942
1228	0.00556895
1229	0.00542053
1230	0.00331211
1231	0.00393474
1232	0.00603737
1233	0.00646
1234	0.0131553
1235	0.00669947
1236	0.00475053
1237	0.00158684
1238	0.00570158
1239	0.00315737
1240	0.00440211
1241	0.00511316
1242	0.00361053
1243	0.00656684
1244	0.00664263
1245	0.0117479
1246	0.00662526
1247	0.00805842
1248	0.0104626
1249	0.00722
1250	0.00424789
1251	0.00702368
1252	0.00552316
1253	0.00410895
1254	0.00521789
1255	0.00515895
1256	0.00454474
1257	0.00656579
1258	0.00245579
1259	0.01113
1260	0.00446316
1261	0.00969579
1262	0.00434737
1263	0.0108305
1264	0.00754684
1265	0.00568263
1266	0.00323895
1267	0.00692105
1268	0.00495105
1269	0.00677316
1270	0.00925895
1271	0.00507053
1272	0.0122632
1273	0.00343053
1274	0.00568316
1275	0.00612421
1276	0.00436895
1277	0.00767842
1278	0.00430737
1279	0.00477895
1280	0.00377579
1281	0.00862684
1282	0.00805053
1283	0.00556158
1284	0.00622211
1285	0.00694053
1286	0.00660474
1287	0.00857
1288	0.00947789
1289	0.00725789
1290	0.00586368
1291	0.00607947
1292	0.00870368
1293	0.00487579
1294	0.00276526
1295	0.00911632
1296	0.00506368
1297	0.00676421
1298	0.00702947
1299	0.00423211
1300	0.00515316
1301	0.00253368
1302	0.00233526
1303	0.00843947
1304	0.00739263
1305	0.00937947
1306	0.00634368
1307	0.0122489
1308	0.00809737
1309	0.00693211
1310	0.00818684
1311	0.0128884
1312	0.0117642
1313	0.0110663
1314	0.00569526
1315	0.00384684
1316	0.00412947
1317	0.00834368
1318	0.0115626
1319	0.0172679
1320	0.00942211
1321	0.00718368
1322	0.00618737
1323	0.00964789
1324	0.00728053
1325	0.00662737
1326	0.00692737
1327	0.00650263
1328	0.00435789
1329	0.00239737
1330	0.00627105
1331	0.00252368
1332	0.00695053
1333	0.00529895
1334	0.00609421
1335	0.00422947
1336	0.00555632
1337	0.00498211
1338	0.00202158
1339	0.00378632
1340	0.00585368
1341	0.00413895
1342	0.00815263
1343	0.00492421
1344	0.00373895
1345	0.00677895
1346	0.00896316
1347	0.0119221
1348	0.00656579
1349	0.00752
1350	0.00437579
1351	0.00293263
1352	0.00606579
1353	0.0119374
1354	0.00322368
1355	0.00693368
1356	0.0114316
1357	0.00568158
1358	0.00625316
1359	0.0125195
1360	0.01275
1361	0.00835737
1362	0.00594947
1363	0.00404474
1364	0.00998474
1365	0.0130774
1366	0.00284737
1367	0.00479
1368	0.00849
1369	0.00840737
1370	0.00667579
1371	0.00660579
1372	0.00321947
1373	0.00456
1374	0.00544947
1375	0.00723211
1376	0.00554842
1377	0.00618474
1378	0.00688684
1379	0.00745368
1380	0.00351105
1381	0.00959316
1382	0.00382053
1383	0.00637263
1384	0.00861105
1385	0.00350211
1386	0.00602211
1387	0.00383053
1388	0.0121237
1389	0.00681842
1390	0.00487526
1391	0.00742263
1392	0.00641105
1393	0.00729368
1394	0.00690895
1395	0.00919789
1396	0.00664053
1397	0.00266947
1398	0.00789211
1399	0.00722895
1400	0.00339105
1401	0.00917
1402	0.00474737
1403	0.00873737
1404	0.0121779
1405	0.00298158
1406	0.00865158
1407	0.00419789
1408	0.00832211
1409	0.00748842
1410	0.01665
1411	0.00487053
1412	0.00601053
1413	0.00720579
1414	0.00780105
1415	0.00755789
1416	0.00384632
1417	0.0162016
1418	0.00528158
1419	0.00552
1420	0.0107832
1421	0.00663316
1422	0.0116237
1423	0.00538
1424	0.0126589
1425	0.00640368
1426	0.00665263
1427	0.01522
1428	0.00513158
1429	0.0121426
1430	0.00479368
1431	0.00639158
1432	0.00480947
1433	0.00770947
1434	0.00476316
1435	0.00345053
1436	0.00330895
1437	0.00392579
1438	0.00926105
1439	0.0218521
1440	0.00321053
1441	0.00817263
1442	0.0183868
1443	0.00873474
1444	0.0119332
1445	0.00352526
1446	0.00635579
1447	0.00351211
1448	0.00847789
1449	0.00699053
1450	0.00845632
1451	0.00826053
1452	0.0091
1453	0.00909737
1454	0.00709789
1455	0.00407316
1456	0.00833737
1457	0.00697421
1458	0.00397263
1459	0.00680789
1460	0.00431895
1461	0.00660947
1462	0.00695737
1463	0.00573053
1464	0.00570526
1465	0.00535053
1466	0.00942737
1467	0.00267474
1468	0.00623737
1469	0.00364789
1470	0.00759263
1471	0.00448895
1472	0.00535211
1473	0.00316684
1474	0.00403211
1475	0.0118589
1476	0.0216684
1477	0.00837263
1478	0.0170837
1479	0.00314895
1480	0.00702263
1481	0.00290632
1482	0.00752368
1483	0.00954368
1484	0.00466579
1485	0.0132679
1486	0.0133226
1487	0.00337789
1488	0.00613
1489	0.00593737
1490	0.00901789
1491	0.00254789
1492	0.00667579
1493	0.00813421
1494	0.00556842
1495	0.00714684
1496	0.00345316
1497	0.0178284
1498	0.00905737
