pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
BFS	X	1	100	0.0740031897926634	99	1392	18810	0
BFS	X	101	200	0.0679869777536625	97	1253	18430	0
BFS	X	201	300	0.0194577352472089	99	366	18810	0
BFS	X	301	400	0.1043407487791644	97	1923	18430	0
BFS	X	401	500	0.053578947368421	100	1018	19000	0
BFS	X	501	600	0.0546517809675704	99	1028	18810	0
BFS	X	601	700	0.0805263157894736	100	1530	19000	0
BFS	X	701	800	0.0728421052631578	100	1384	19000	0
BFS	X	801	900	0.0609559613319011	98	1135	18620	0
BFS	X	901	1000	0.0620414673046251	99	1167	18810	0
BFS	X	1001	1100	0.0593157894736842	100	1127	19000	0
BFS	X	1101	1200	0.0640171858216971	98	1192	18620	0
BFS	X	1201	1300	0.0671451355661882	99	1263	18810	0
BFS	X	1301	1400	0.0812105263157894	100	1543	19000	0
BFS	X	1401	1500	0.0566188197767145	99	1065	18810	0
BFS	X	1501	1600	0.0822234156820623	98	1531	18620	0
BFS	X	1601	1700	0.0527389903329752	98	982	18620	0
BFS	X	1701	1800	0.0635300372142477	99	1195	18810	0
BFS	X	1801	1900	0.0673684210526315	100	1280	19000	0
BFS	X	1901	2000	0.058	100	1102	19000	0
BFS	X	2001	2100	0.0798511430090377	99	1502	18810	0
BFS	X	2101	2200	0.042430819316332	97	782	18430	0
BFS	X	2201	2300	0.0637426900584795	99	1199	18810	0
BFS	X	2301	2400	0.0626842105263157	100	1191	19000	0
BFS	X	2401	2500	0.0504736842105263	100	959	19000	0
BFS	X	2501	2600	0.0501578947368421	100	953	19000	0
BFS	X	2601	2700	0.0816315789473684	100	1551	19000	0
BFS	X	2701	2800	0.0831472620946305	99	1564	18810	0
BFS	X	2801	2900	0.0566719829877724	99	1066	18810	0
BFS	X	2901	3000	0.0586315789473684	100	1114	19000	0
BFS	X	3001	3100	0.0744210526315789	100	1414	19000	0
BFS	X	3101	3200	0.0971578947368421	100	1846	19000	0
BFS	X	3201	3300	0.0644058600108518	97	1187	18430	0
BFS	X	3301	3400	0.0610313662945241	99	1148	18810	0
BFS	X	3401	3500	0.0521482277121374	98	971	18620	0
BFS	X	3501	3600	0.0692631578947368	100	1316	19000	0
BFS	X	3601	3700	0.0731471535982814	98	1362	18620	0
BFS	X	3701	3800	0.0788410419989367	99	1483	18810	0
BFS	X	3801	3900	0.0440526315789473	100	837	19000	0
BFS	X	3901	4000	0.0518872939925571	99	976	18810	0
BFS	X	4001	4100	0.0744360902255639	98	1386	18620	0
BFS	X	4101	4200	0.0680489101541733	99	1280	18810	0
BFS	X	4201	4300	0.0622897449810092	97	1148	18430	0
BFS	X	4301	4400	0.0740526315789473	100	1407	19000	0
BFS	X	4401	4500	0.0671052631578947	100	1275	19000	0
BFS	X	4501	4600	0.056578947368421	100	1075	19000	0
BFS	X	4601	4700	0.0607655502392344	99	1143	18810	0
BFS	X	4701	4800	0.079	100	1501	19000	0
BFS	X	4801	4900	0.0474769397721106	97	875	18430	0
BFS	X	4901	5000	0.0873033098209441	97	1609	18430	0
BFS	X	5001	5100	0.0654910472056429	97	1207	18430	0
BFS	X	5101	5200	0.0587453482190324	99	1105	18810	0
BFS	X	5201	5300	0.0714513556618819	99	1344	18810	0
BFS	X	5301	5400	0.0672105263157894	100	1277	19000	0
BFS	X	5401	5500	0.0507894736842105	100	965	19000	0
BFS	X	5501	5600	0.0395263157894736	100	751	19000	0
BFS	X	5601	5700	0.1047798066595059	98	1951	18620	0
BFS	X	5701	5800	0.0754210526315789	100	1433	19000	0
