pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
BFS	1	1	10000	0.0055337653927757	9997	10511	1899430	0
BFS	2	1	10000	0.0055337653927757	9997	10511	1899430	0
BFS	X	1	10000	0.0013511111111111	10000	608	450000	100000
BFS	Y	1	10000	0.0004822222222222	10000	217	450000	100000
BFS	1	1	10000	0.0020714669249639	9998	3935	1899620	0
BFS	2	1	10000	0.0020714669249639	9998	3935	1899620	0
BFS	X	1	10000	0.0018466666666666	10000	831	450000	100000
BFS	Y	1	10000	0.0005133333333333	10000	231	450000	100000
BFS	1	1	10000	0.0035336842105263	10000	6714	1900000	0
BFS	2	1	10000	0.0035336842105263	10000	6714	1900000	0
BFS	X	1	10000	0.0024466666666666	10000	1101	450000	100000
BFS	Y	1	10000	0.0006355555555555	10000	286	450000	100000
BFS	1	1	10000	0.0055357894736842	10000	10518	1900000	0
BFS	2	1	10000	0.0055357894736842	10000	10518	1900000	0
BFS	X	1	10000	0.00128	10000	576	450000	100000
BFS	Y	1	10000	0.0001711111111111	10000	77	450000	100000
BFS	1	1	10000	0.0053015789473684	10000	10073	1900000	0
BFS	2	1	10000	0.0053015789473684	10000	10073	1900000	0
BFS	X	1	10000	0.0026222222222222	10000	1180	450000	100000
BFS	Y	1	10000	0.0009533333333333	10000	429	450000	100000
BFS	1	1	10000	0.005818947368421	10000	11056	1900000	0
BFS	2	1	10000	0.005818947368421	10000	11056	1900000	0
BFS	X	1	10000	0.0036696228134515	9998	1651	449910	99980
BFS	Y	1	10000	0.0010955555555555	10000	493	450000	100000
BFS	1	1	10000	0.0016505263157894	10000	3136	1900000	0
BFS	2	1	10000	0.0016505263157894	10000	3136	1900000	0
BFS	X	1	10000	0.0017111111111111	10000	770	450000	100000
BFS	Y	1	10000	0.0007777777777777	10000	350	450000	100000
BFS	1	1	10000	0.0049693855525078	9997	9439	1899430	0
BFS	2	1	10000	0.0049693855525078	9997	9439	1899430	0
BFS	X	1	10000	0.0029266666666666	10000	1317	450000	100000
BFS	Y	1	10000	0.0007911111111111	10000	356	450000	100000
BFS	1	1	10000	0.0017278947368421	10000	3283	1900000	0
BFS	2	1	10000	0.0017278947368421	10000	3283	1900000	0
BFS	X	1	10000	0.0015179295707348	9999	683	449955	99990
BFS	Y	1	10000	0.0008933333333333	10000	402	450000	100000
BFS	1	1	10000	0.0017310526315789	10000	3289	1900000	0
BFS	2	1	10000	0.0017310526315789	10000	3289	1900000	0
BFS	X	1	10000	0.0043466666666666	10000	1956	450000	100000
BFS	Y	1	10000	0.0012377777777777	10000	557	450000	100000
BFS	1	1	10000	0.0038284210526315	10000	7274	1900000	0
BFS	2	1	10000	0.0038284210526315	10000	7274	1900000	0
BFS	X	1	10000	0.0011244444444444	10000	506	450000	100000
BFS	Y	1	10000	0.0003111111111111	10000	140	450000	100000
BFS	1	1	10000	0.0013263157894736	10000	2520	1900000	0
BFS	2	1	10000	0.0013263157894736	10000	2520	1900000	0
BFS	X	1	10000	0.0032	10000	1440	450000	100000
BFS	Y	1	10000	0.0006955555555555	10000	313	450000	100000
BFS	1	1	10000	0.0041942105263157	10000	7969	1900000	0
BFS	2	1	10000	0.0041942105263157	10000	7969	1900000	0
BFS	X	1	10000	0.0031444444444444	10000	1415	450000	100000
BFS	Y	1	10000	0.0010288888888888	10000	463	450000	100000
BFS	1	1	10000	0.0036866844579194	9999	7004	1899810	0
BFS	2	1	10000	0.0036866844579194	9999	7004	1899810	0
BFS	X	1	10000	0.0023488888888888	10000	1057	450000	100000
BFS	Y	1	10000	0.0007533333333333	10000	339	450000	100000
BFS	1	1	10000	0.0030766234518188	9999	5845	1899810	0
BFS	2	1	10000	0.0030766234518188	9999	5845	1899810	0
BFS	X	1	10000	0.0034733333333333	10000	1563	450000	100000
BFS	Y	1	10000	0.00122	10000	549	450000	100000
BFS	1	1	10000	0.0050578536759983	9998	9608	1899620	0
BFS	2	1	10000	0.0050578536759983	9998	9608	1899620	0
BFS	X	1	10000	0.00569891756129	9998	2564	449910	99980
BFS	Y	1	10000	0.0019311111111111	10000	869	450000	100000
BFS	1	1	10000	0.0069182257504132	9998	13142	1899620	0
BFS	2	1	10000	0.0069182257504132	9998	13142	1899620	0
BFS	X	1	10000	0.0019155555555555	10000	862	450000	100000
BFS	Y	1	10000	0.0005422222222222	10000	244	450000	100000
BFS	1	1	10000	0.0023021052631578	10000	4374	1900000	0
BFS	2	1	10000	0.0023021052631578	10000	4374	1900000	0
BFS	X	1	10000	0.0011911111111111	10000	536	450000	100000
